+Test Batsmen------------+---------+--------+
| Rank | Name            | Country | Rating |
| 3    | M. Kapp        | SA      | 643    |
| 4    |  Sana Mir      | PAK     | 620    |
| 5    | J. Goswami     | IND     | 609    |
| 6    | S. Ismail      | SA      | 592    |
| 7    | S.R. Taylor    | WI      | 591    |
| 8    | A. Khaka       | SA      | 590    |
| 9    | D. van Niekerk | SA      | 584    |
| 10   | A. Shrubsole   | ENG     | 571    |
+------+----------------+---------+--------+
+Women's ODI Allrounders----+---------+--------+
| Rank | Name               | Country | Rating |
+------+--------------------+---------+--------+
| 1    | E.A. Perry         | AUS     | 422    |
| 2    | S.R. Taylor        | WI      | 386    |
| 3    | D. van Niekerk     | SA      | 303    |
| 4    | D. Sharma          | IND     | 298    |
| 5    | M. Kapp            | SA      | 260    |
| 6    |  Sana Mir          | PAK     | 252    |
| 7    | S.W. Bates         | NZ      | 228    |
| 8    | N. Sciver          | ENG     | 226    |
| 9    | H.C. Knight        | ENG     | 205    |
| 10   | A.E. Satterthwaite | NZ      | 203    |
+------+--------------------+---------+--------+
+Women's T20 Batting----+---------+--------+
| Rank | Name           | Country | Rating |
+------+----------------+---------+--------+
| 1    | S.R. Taylor    | WI      | 676    |
| 2    | S.W. Bates     | NZ      | 670    |
| 3    | M.M. Lanning   | AUS     | 646    |
| 4    | B.L. Mooney    | AUS     | 631    |
| 5    | D.J.S. Dottin  | WI      | 617    |
| 6    | M. Raj         | IND     | 584    |
| 7    | H. Kaur        | IND     | 573    |
| 8    | E.J. Villani   | AUS     | 548    |
| 9    | S. Mandhana    | IND     | 541    |
| 10   |  Bismah Maroof | PAK     | 531    |
+------+----------------+---------+--------+
+Women's T20 Bowling---+---------+--------+
| Rank | Name          | Country | Rating |
+------+---------------+---------+--------+
| 1    | M.L. Schutt   | AUS     | 669    |
| 2    | L.M. Kasperek | NZ      | 640    |
| 3    | P. Yadav      | IND     | 611    |
| 4    | H.K. Matthews | WI      | 610    |
| 5    |  Anam Amin    | PAK     | 589    |
| 6    | J.L. Jonassen | AUS     | 587    |
| 7    | L.M.M. Tahuhu | NZ      | 582    |
| 8    | S. Ismail     | SA      | 571    |
| 9    | D. Hazell     | ENG     | 568    |
| 10   | A. Mohammed   | WI      | 562    |
+------+---------------+---------+--------+
+Women's T20 Allrounders+---------+--------+
| Rank | Name           | Country | Rating |
+------+----------------+---------+--------+
| 1    | H.K. Matthews  | WI      | 311    |
| 2    | D.J.S. Dottin  | WI      | 290    |
| 3    | S.R. Taylor    | WI      | 286    |
| 4    | D. van Niekerk | SA      | 270    |
| 5    | E.A. Perry     | AUS     | 262    |
| 6    | S.F.M. Devine  | NZ      | 227    |
| 7    | N. Sciver      | ENG     | 222    |
| 8    | S.W. Bates     | NZ      | 220    |
| 9    | I.M.H.C. Joyce | IRE     | 219    |
| 10   | J.L. Jonassen  | AUS     | 218    |
+------+----------------+---------+--------+
